Detailed Stock Inventory Report
Generated:,2025-11-26

Summary
Total Courses,8
Total Unique Items,202
Total Stock Quantity,15719
Total Inventory Value,6325620.00

Course,Item Code,Item Name,Size,Quantity,Price,Status
"SHS",1038,"SHS Checkered Pants","S",300,480.00,"IN STOCK"
"SHS",1038,"SHS Checkered Pants","M",420,480.00,"IN STOCK"
"SHS",1038,"SHS Checkered Pants","L",360,480.00,"IN STOCK"
"SHS",1038,"SHS Checkered Pants","XL",270,480.00,"IN STOCK"
"SHS",1039,"TVL Chef White Polo","S",30,520.00,"IN STOCK"
"SHS",1039,"TVL Chef White Polo","M",40,520.00,"IN STOCK"
"SHS",1039,"TVL Chef White Polo","L",35,520.00,"IN STOCK"
"SHS",1039,"TVL Chef White Polo","XL",25,520.00,"IN STOCK"
"SHS",1040,"TVL Chef White Pants","S",30,550.00,"IN STOCK"
"SHS",1040,"TVL Chef White Pants","M",40,550.00,"IN STOCK"
"SHS",1040,"TVL Chef White Pants","L",35,550.00,"IN STOCK"
"SHS",1040,"TVL Chef White Pants","XL",25,550.00,"IN STOCK"
"SHS",1041,"TVL Chef Apron","One Size",55,250.00,"IN STOCK"
"SHS",1042,"TVL Chef Cap","One Size",60,180.00,"IN STOCK"
"STI Special",1043,"PE White Shirt","S",77,300.00,"IN STOCK"
"STI Special",1043,"PE White Shirt","M",119,300.00,"IN STOCK"
"STI Special",1043,"PE White Shirt","L",96,300.00,"IN STOCK"
"STI Special",1043,"PE White Shirt","XL",81,300.00,"IN STOCK"
"STI Special",1044,"PE Blue Jogging Pants","S",68,400.00,"IN STOCK"
"STI Special",1044,"PE Blue Jogging Pants","M",99,400.00,"IN STOCK"
"STI Special",1044,"PE Blue Jogging Pants","L",89,400.00,"IN STOCK"
"STI Special",1044,"PE Blue Jogging Pants","XL",70,400.00,"IN STOCK"
"STI Special",1045,"NSTP Gray Shirt (Male)","S",58,320.00,"IN STOCK"
"STI Special",1045,"NSTP Gray Shirt (Male)","M",90,320.00,"IN STOCK"
"STI Special",1045,"NSTP Gray Shirt (Male)","L",74,320.00,"IN STOCK"
"STI Special",1045,"NSTP Gray Shirt (Male)","XL",54,320.00,"IN STOCK"
"STI Special",1046,"NSTP Gray Shirt (Female)","S",58,320.00,"IN STOCK"
"STI Special",1046,"NSTP Gray Shirt (Female)","M",90,320.00,"IN STOCK"
"STI Special",1046,"NSTP Gray Shirt (Female)","L",75,320.00,"IN STOCK"
"STI Special",1046,"NSTP Gray Shirt (Female)","XL",55,320.00,"IN STOCK"
"STI Special",1047,"Anniversary Shirt","S",73,350.00,"IN STOCK"
"STI Special",1047,"Anniversary Shirt","M",99,350.00,"IN STOCK"
"STI Special",1047,"Anniversary Shirt","L",90,350.00,"IN STOCK"
"STI Special",1047,"Anniversary Shirt","XL",70,350.00,"IN STOCK"
"STI Special",1048,"Washday Shirt","S",90,300.00,"IN STOCK"
"STI Special",1048,"Washday Shirt","M",120,300.00,"IN STOCK"
"STI Special",1048,"Washday Shirt","L",100,300.00,"IN STOCK"
"STI Special",1048,"Washday Shirt","XL",80,300.00,"IN STOCK"
"STI Special",1049,"ID Lace","One Size",200,50.00,"IN STOCK"
"STI Special",1050,"STI Pin","One Size",148,80.00,"IN STOCK"
"STI Special",1051,"STI Tumbler","One Size",30,600.00,"IN STOCK"
"STEM",1052,"STEM Lab Coat","S",0,650.00,"OUT OF STOCK"
"STEM",1052,"STEM Lab Coat","M",0,650.00,"OUT OF STOCK"
"STEM",1052,"STEM Lab Coat","L",0,650.00,"OUT OF STOCK"
"STEM",1052,"STEM Lab Coat","XL",0,650.00,"OUT OF STOCK"
"BSCS/BSIT/BSCpE",1053,"IT/Eng Gray 3/4 Polo (Male)","S",0,450.00,"OUT OF STOCK"
"BSCS/BSIT/BSCpE",1053,"IT/Eng Gray 3/4 Polo (Male)","M",0,450.00,"OUT OF STOCK"
"BSCS/BSIT/BSCpE",1053,"IT/Eng Gray 3/4 Polo (Male)","L",0,450.00,"OUT OF STOCK"
"BSCS/BSIT/BSCpE",1053,"IT/Eng Gray 3/4 Polo (Male)","XL",0,450.00,"OUT OF STOCK"
"BSCS/BSIT/BSCpE",1054,"IT/Eng RTW Pants (Male)","S",158,500.00,"IN STOCK"
"BSCS/BSIT/BSCpE",1054,"IT/Eng RTW Pants (Male)","M",195,500.00,"IN STOCK"
"BSCS/BSIT/BSCpE",1054,"IT/Eng RTW Pants (Male)","L",174,500.00,"IN STOCK"
"BSCS/BSIT/BSCpE",1054,"IT/Eng RTW Pants (Male)","XL",140,500.00,"IN STOCK"
"BSCS/BSIT/BSCpE",1055,"IT/Eng Gray 3/4 Blouse (Female)","S",0,450.00,"OUT OF STOCK"
"BSCS/BSIT/BSCpE",1055,"IT/Eng Gray 3/4 Blouse (Female)","M",0,450.00,"OUT OF STOCK"
"BSCS/BSIT/BSCpE",1055,"IT/Eng Gray 3/4 Blouse (Female)","L",0,450.00,"OUT OF STOCK"
"BSCS/BSIT/BSCpE",1055,"IT/Eng Gray 3/4 Blouse (Female)","XL",0,450.00,"OUT OF STOCK"
"BSCS/BSIT/BSCpE",1056,"IT/Eng RTW Skirt (Female)","S",0,480.00,"OUT OF STOCK"
"BSCS/BSIT/BSCpE",1056,"IT/Eng RTW Skirt (Female)","M",0,480.00,"OUT OF STOCK"
"BSCS/BSIT/BSCpE",1056,"IT/Eng RTW Skirt (Female)","L",0,480.00,"OUT OF STOCK"
"BSCS/BSIT/BSCpE",1056,"IT/Eng RTW Skirt (Female)","XL",0,480.00,"OUT OF STOCK"
"BSCS/BSIT/BSCpE",1057,"IT/Eng RTW Pants (Female)","S",98,500.00,"IN STOCK"
"BSCS/BSIT/BSCpE",1057,"IT/Eng RTW Pants (Female)","M",100,500.00,"IN STOCK"
"BSCS/BSIT/BSCpE",1057,"IT/Eng RTW Pants (Female)","L",35,500.00,"IN STOCK"
"BSCS/BSIT/BSCpE",1057,"IT/Eng RTW Pants (Female)","XL",30,500.00,"IN STOCK"
"BMMA",1061,"Arts Gray 3/4 Polo (Male)","S",45,450.00,"IN STOCK"
"BMMA",1061,"Arts Gray 3/4 Polo (Male)","M",50,450.00,"IN STOCK"
"BMMA",1061,"Arts Gray 3/4 Polo (Male)","L",45,450.00,"IN STOCK"
"BMMA",1061,"Arts Gray 3/4 Polo (Male)","XL",40,450.00,"IN STOCK"
"BMMA",1062,"Arts RTW Pants (Male)","S",35,500.00,"IN STOCK"
"BMMA",1062,"Arts RTW Pants (Male)","M",40,500.00,"IN STOCK"
"BMMA",1062,"Arts RTW Pants (Male)","L",35,500.00,"IN STOCK"
"BMMA",1062,"Arts RTW Pants (Male)","XL",30,500.00,"IN STOCK"
"BMMA",1063,"Arts Gray 3/4 Blouse (Female)","S",45,450.00,"IN STOCK"
"BMMA",1063,"Arts Gray 3/4 Blouse (Female)","M",55,450.00,"IN STOCK"
"BMMA",1063,"Arts Gray 3/4 Blouse (Female)","L",50,450.00,"IN STOCK"
"BMMA",1063,"Arts Gray 3/4 Blouse (Female)","XL",40,450.00,"IN STOCK"
"BMMA",1064,"Arts RTW Skirt (Female)","S",40,480.00,"IN STOCK"
"BMMA",1064,"Arts RTW Skirt (Female)","M",45,480.00,"IN STOCK"
"BMMA",1064,"Arts RTW Skirt (Female)","L",40,480.00,"IN STOCK"
"BMMA",1064,"Arts RTW Skirt (Female)","XL",35,480.00,"IN STOCK"
"BMMA",1065,"Arts RTW Pants (Female)","S",35,500.00,"IN STOCK"
"BMMA",1065,"Arts RTW Pants (Female)","M",40,500.00,"IN STOCK"
"BMMA",1065,"Arts RTW Pants (Female)","L",35,500.00,"IN STOCK"
"BMMA",1065,"Arts RTW Pants (Female)","XL",30,500.00,"IN STOCK"
"BSBA/BSA",1001,"Business Blazer","S",0,650.00,"OUT OF STOCK"
"BSBA/BSA",1001,"Business Blazer","M",0,650.00,"OUT OF STOCK"
"BSBA/BSA",1001,"Business Blazer","L",0,650.00,"OUT OF STOCK"
"BSBA/BSA",1001,"Business Blazer","XL",0,650.00,"OUT OF STOCK"
"BSBA/BSA",1002,"Business White Polo (Male)","S",68,480.00,"IN STOCK"
"BSBA/BSA",1002,"Business White Polo (Male)","M",70,480.00,"IN STOCK"
"BSBA/BSA",1002,"Business White Polo (Male)","L",70,480.00,"IN STOCK"
"BSBA/BSA",1002,"Business White Polo (Male)","XL",70,480.00,"IN STOCK"
"BSBA/BSA",1003,"Business Slacks (Male)","S",69,550.00,"IN STOCK"
"BSBA/BSA",1003,"Business Slacks (Male)","M",70,550.00,"IN STOCK"
"BSBA/BSA",1003,"Business Slacks (Male)","L",70,550.00,"IN STOCK"
"BSBA/BSA",1003,"Business Slacks (Male)","XL",70,550.00,"IN STOCK"
"BSBA/BSA",1004,"Business White Blouse (Female)","S",69,480.00,"IN STOCK"
"BSBA/BSA",1004,"Business White Blouse (Female)","M",70,480.00,"IN STOCK"
"BSBA/BSA",1004,"Business White Blouse (Female)","L",70,480.00,"IN STOCK"
"BSBA/BSA",1004,"Business White Blouse (Female)","XL",70,480.00,"IN STOCK"
"BSBA/BSA",1005,"Business Vest (Female)","S",69,350.00,"IN STOCK"
"BSBA/BSA",1005,"Business Vest (Female)","M",70,350.00,"IN STOCK"
"BSBA/BSA",1005,"Business Vest (Female)","L",70,350.00,"IN STOCK"
"BSBA/BSA",1005,"Business Vest (Female)","XL",70,350.00,"IN STOCK"
"BSBA/BSA",1006,"Business Pencil Skirt (Female)","S",70,520.00,"IN STOCK"
"BSBA/BSA",1006,"Business Pencil Skirt (Female)","M",70,520.00,"IN STOCK"
"BSBA/BSA",1006,"Business Pencil Skirt (Female)","L",70,520.00,"IN STOCK"
"BSBA/BSA",1006,"Business Pencil Skirt (Female)","XL",70,520.00,"IN STOCK"
"BSBA/BSA",1007,"Business Slacks (Female)","S",70,550.00,"IN STOCK"
"BSBA/BSA",1007,"Business Slacks (Female)","M",70,550.00,"IN STOCK"
"BSBA/BSA",1007,"Business Slacks (Female)","L",70,550.00,"IN STOCK"
"BSBA/BSA",1007,"Business Slacks (Female)","XL",70,550.00,"IN STOCK"
"BSHM",1009,"BSHM White Blouse (Female)","S",40,480.00,"IN STOCK"
"BSHM",1009,"BSHM White Blouse (Female)","M",60,480.00,"IN STOCK"
"BSHM",1009,"BSHM White Blouse (Female)","L",50,480.00,"IN STOCK"
"BSHM",1009,"BSHM White Blouse (Female)","XL",40,480.00,"IN STOCK"
"BSHM",1010,"BSHM Blazer (Female)","S",0,650.00,"OUT OF STOCK"
"BSHM",1010,"BSHM Blazer (Female)","M",0,650.00,"OUT OF STOCK"
"BSHM",1010,"BSHM Blazer (Female)","L",0,650.00,"OUT OF STOCK"
"BSHM",1010,"BSHM Blazer (Female)","XL",0,650.00,"OUT OF STOCK"
"BSHM",1011,"BSHM RTW Skirt (Female)","S",35,480.00,"IN STOCK"
"BSHM",1011,"BSHM RTW Skirt (Female)","M",50,480.00,"IN STOCK"
"BSHM",1011,"BSHM RTW Skirt (Female)","L",40,480.00,"IN STOCK"
"BSHM",1011,"BSHM RTW Skirt (Female)","XL",30,480.00,"IN STOCK"
"BSHM",1012,"BSHM Yellow Scarf","One Size",80,120.00,"IN STOCK"
"BSHM",1013,"BSHM Beret","One Size",70,150.00,"IN STOCK"
"BSHM",1014,"Tourism Pin","One Size",200,80.00,"IN STOCK"
"BSHM",1015,"BSHM White Polo (Male)","S",45,480.00,"IN STOCK"
"BSHM",1015,"BSHM White Polo (Male)","M",55,480.00,"IN STOCK"
"BSHM",1015,"BSHM White Polo (Male)","L",50,480.00,"IN STOCK"
"BSHM",1015,"BSHM White Polo (Male)","XL",40,480.00,"IN STOCK"
"BSHM",1016,"BSHM Blazer (Male)","S",35,650.00,"IN STOCK"
"BSHM",1016,"BSHM Blazer (Male)","M",45,650.00,"IN STOCK"
"BSHM",1016,"BSHM Blazer (Male)","L",40,650.00,"IN STOCK"
"BSHM",1016,"BSHM Blazer (Male)","XL",30,650.00,"IN STOCK"
"BSHM",1017,"BSHM Pants (Male)","S",40,500.00,"IN STOCK"
"BSHM",1017,"BSHM Pants (Male)","M",50,500.00,"IN STOCK"
"BSHM",1017,"BSHM Pants (Male)","L",45,500.00,"IN STOCK"
"BSHM",1017,"BSHM Pants (Male)","XL",35,500.00,"IN STOCK"
"BSHM",1018,"BSHM Necktie","One Size",75,180.00,"IN STOCK"
"BSHM",1019,"Chef White Polo","S",35,520.00,"IN STOCK"
"BSHM",1019,"Chef White Polo","M",45,520.00,"IN STOCK"
"BSHM",1019,"Chef White Polo","L",40,520.00,"IN STOCK"
"BSHM",1019,"Chef White Polo","XL",35,520.00,"IN STOCK"
"BSHM",1020,"Chef White Pants","S",35,550.00,"IN STOCK"
"BSHM",1020,"Chef White Pants","M",45,550.00,"IN STOCK"
"BSHM",1020,"Chef White Pants","L",40,550.00,"IN STOCK"
"BSHM",1020,"Chef White Pants","XL",35,550.00,"IN STOCK"
"BSHM",1021,"Chef Apron","One Size",60,250.00,"IN STOCK"
"BSHM",1022,"Chef Cap","One Size",70,180.00,"IN STOCK"
